cell_id,lon,lat,lst_min,lst_max,lst_mean,lst_count,lst_std,ndvi_min,ndvi_max,ndvi_mean,ndvi_count,ndvi_std,ndbi_min,ndbi_max,ndbi_mean,ndbi_count,ndbi_std,building_count,building_density,avg_building_area,road_length_m,road_density,albedo_proxy,green_fraction,norm_building_density,norm_road_density,impervious_fraction,dist_to_green_m
933,76.24332803095987,9.996568451311528,29.783948720000012,34.596520880000014,31.09989824705883,289,1.2808195390715125,-0.419518381357193,0.7595459222793579,0.04035155748413508,289,0.4222503863051263,-0.6012874841690063,0.13101814687252045,-0.2675313718591182,289,0.1185466881093955,71.0,0.023710791199523712,82.95601725397165,1935.5855980503964,0.007792058172134297,1.2675313718591181,0.04035155748413508,0.09848120817180012,0.17569319829980942,0.12936600422300382,500.0052793748492
934,76.24788887632407,9.996568451311528,31.137484640000025,34.774257920000025,33.06134499058825,289,0.8360606490418929,-0.032073311507701874,0.7701995372772217,0.5172084293563474,289,0.17475116178191916,-0.6426374912261963,0.048385366797447205,-0.2530374493978428,289,0.13999283714336877,105.0,0.03284517278135972,77.70383394482872,5153.265025919991,0.020745422418331216,1.253037449397843,0.5172084293563474,0.13642025991038229,0.46776211550777413,0.26895700214933904,0.0
935,76.25244972168827,9.996568451311528,29.842055060000007,32.80547840000003,31.160393652941195,289,0.7028146677150204,-0.23364485800266266,0.788936972618103,0.4175364352427552,289,0.2720854269286541,-0.6075614094734192,-0.08986615389585495,-0.3788527122418361,289,0.11367310176743338,7.0,0.004025072972832281,142.83541936835715,1594.3089668985524,0.006418185910735115,1.3788527122418361,0.4175364352427552,0.016717875249651928,0.14471550199309685,0.0679169259470299,0.0
936,76.25701056705246,9.996568451311528,29.56177742,30.713650160000043,29.99891734117649,289,0.27671449423059724,-0.35260117053985596,0.7165828943252563,-0.20316194580500513,289,0.200546506234602,-0.5388941168785095,-0.057863499969244,-0.3257531822758975,289,0.08851499194521116,1.0,0.0005778450901127819,143.5395642099112,819.9325367197403,0.0033007902258526257,1.3257531822758974,0.0,0.0024000414887712642,0.07442531599298269,0.031210151290455835,500.0052793748492
937,76.26157141241666,9.996568451311528,29.681408120000015,36.20640830000002,31.969697112500025,272,2.3559911664675273,-0.3246913552284241,0.6686171889305115,0.026964948457830092,272,0.3332766877999499,-0.390625,0.12483112514019012,-0.23943115683162913,272,0.12844786445546313,15.0,0.005171102421384696,85.6351527137379,2194.6681390037074,0.008835042906328422,1.2394311568316292,0.026964948457830092,0.02147783301504994,0.19921013306599972,0.09257075303542986,1000.0105587496984
938,76.26613225778085,9.996568451311528,30.009538040000052,36.514030100000014,32.261989565882374,289,2.0352157249636864,-0.2888889014720917,0.7642213702201843,0.04807451769554904,289,0.30729859330885045,-0.4335913062095642,0.1520974040031433,-0.19889343156121594,289,0.15093663003314725,2.0,0.0024732233740129466,307.18042895397423,1490.2263141007147,0.005999181922418762,1.1988934315612159,0.04807451769554904,0.010272370242812625,0.13526791456735873,0.06027058797263107,1000.0105587496984
939,76.27069310314505,9.996568451311528,29.872817240000018,37.38562520000005,31.854251712941196,289,2.2206622212759926,-0.35980746150016785,0.7708779573440552,-0.0365468061506542,289,0.34285022993595254,-0.48056086897850037,0.22531644999980927,-0.24348982972669767,289,0.14676303684905706,5.0,0.009894504183916342,491.56870688484844,1013.4320436950334,0.004079758314967087,1.2434898297266976,0.0,0.04109617085711531,0.09198927559475295,0.06145341275217037,500.0052793748492
940,76.27525394850925,9.996568451311528,32.70635582,38.39735912000003,35.26742261882355,289,1.3590155511916155,0.0,0.8085928559303284,0.5235317982604347,289,0.24176892219278487,-0.36466550827026367,0.18568840622901917,-0.11806140886458559,289,0.14978857357685488,7.0,0.03168902482244627,1124.529960186885,263.3302618307526,0.0010600847209936493,1.1180614088645855,0.5235317982604347,0.13161827557923755,0.02390250059556734,0.08853196558576946,0.0
941,76.27981479387344,9.996568451311528,34.709315540000034,39.45352730000002,37.64189391058825,289,1.1130216862489255,0.028819337487220764,0.7935132384300232,0.27495297758637005,289,0.17800749509347613,-0.35452505946159363,0.3651938736438751,0.07275220349585722,289,0.12889623839004494,77.0,0.0682255628192087,220.09825417958228,9869.464271844008,0.0397313556225413,0.9272477965041428,0.27495297758637005,0.2833703775676488,0.8958517490378775,0.5283629261557403,500.0052793748492
942,76.28437563923764,9.996568451311528,36.26793266000004,39.62784632,38.183738783529435,289,0.6244908144750781,0.03867403417825699,0.6973749399185181,0.28437572862037735,289,0.14699897957684924,-0.22960993647575378,0.2784439027309418,0.07766338863174808,289,0.10110536798457648,91.0,0.05828201739575919,159.09384562802614,9442.95728050526,0.03801437276697504,0.922336611368252,0.28437572862037735,0.2420705171550552,0.8571376888170271,0.48809738581984397,1000.0105587496984
943,76.28893648460183,9.996568451311528,36.07994156000001,39.15615955999999,37.866785434117666,289,0.650768480520955,0.032159265130758286,0.6595744490623474,0.2632069835200854,289,0.14144161290340146,-0.23582230508327484,0.30281078815460205,0.07187226899354929,289,0.10031344640486609,70.0,0.1063532905685227,377.40972554021494,9932.965376154038,0.03998699107430169,0.9281277310064507,0.2632069835200854,0.4417313812980236,0.9016157473456952,0.6256851277170923,1500.0158381245478
944,76.29349732996603,9.996568451311528,36.29869484000005,40.34221250000002,37.86140412235296,289,0.6872157198523874,0.011460619047284126,0.6413994431495667,0.23509942289042227,289,0.12871543066792815,-0.17413972318172455,0.3013550043106079,0.08851343702692474,289,0.08276524520564273,77.0,0.10135160998261368,326.96413915375774,8900.337964283142,0.035829958250982966,0.9114865629730753,0.23509942289042227,0.42095723070790525,0.8078841072537294,0.5757279813262349,1802.7814946938395
945,76.29805817533023,9.996568451311528,36.58239050000003,40.86175154,37.95628078823532,289,0.8776722102284218,0.00766479317098856,0.6944753527641296,0.28656539125013514,289,0.14006373724367804,-0.2730987071990967,0.2776971459388733,0.049111712762641244,289,0.09761588342497318,92.0,0.07392205636776598,199.59350656740006,11136.150885326279,0.04483063709480438,0.9508882872373587,0.28656539125013514,0.307030387994296,1.0,0.5842182327965776,1581.1404995769324
946,76.30261902069442,9.996568451311528,36.32262098000001,42.13667300000003,38.659399435294134,289,1.3456444033280035,0.018281536176800728,0.7599830031394958,0.3244486614082099,289,0.18078206303194833,-0.25505051016807556,0.2790355086326599,0.03359100975379812,289,0.11711686064771136,138.0,0.20993098933256285,377.88326747469216,8089.220746971134,0.032564655725441906,0.9664089902462019,0.3244486614082099,0.871934525010172,0.7342589582295126,0.8168642982979082,1499.9999999998902
947,76.30717986605862,9.996568451311528,36.63024278,39.95939426000001,38.443863115294135,289,0.71274715153568,0.06230058893561363,0.6671627163887024,0.2789045287663549,289,0.13251670372306704,-0.2707107365131378,0.2502579391002655,0.05074076009044185,289,0.09315059920779045,81.0,0.08014902281023338,245.79520634701058,9692.281065884119,0.03901807182390417,0.9492592399095582,0.2789045287663549,0.3328936826156819,0.8797688208679934,0.5516437379166065,1581.1404995769324
948,76.31174071142281,9.996568451311528,36.61998872000004,39.97990238,38.054634609411785,289,0.7410741842289771,0.047514721751213074,0.7010807991027832,0.3060924437631785,289,0.13963695624797462,-0.26582011580467224,0.30196598172187805,0.035562020272119646,289,0.10122899034117365,68.0,0.05519082421045947,201.61282870326136,9482.100916890813,0.038171952722153624,0.9644379797278804,0.3060924437631785,0.2292314500391984,0.8606907585839181,0.48181517345708624,1414.2210285562642
949,76.31630155678701,9.996568451311528,36.787471700000026,40.09611505999999,38.21813187058825,289,0.8291533294286054,0.02232321910560131,0.7075968384742737,0.31215585886813363,289,0.13881636808952397,-0.28043535351753235,0.29859405755996704,0.031167792613943555,289,0.09758026959486543,37.0,0.057329845285698455,384.8923165935148,9056.064877004794,0.03645686576885054,0.9688322073860565,0.31215585886813363,0.23811573306551553,0.8220194466491973,0.47167721849898825,1118.0363497680094
950,76.3208624021512,9.996568451311528,36.674677040000006,39.81241940000001,38.21248445000001,272,0.6896579352956359,0.04213985055685043,0.6794543862342834,0.31756143008961396,272,0.1506684729567,-0.26960256695747375,0.28806012868881226,0.01654329545357648,272,0.09988127379444543,27.0,0.030983624390092234,285.0549919381661,9563.096646179152,0.03849801602565458,0.9834567045464235,0.31756143008961396,0.12868844138523852,0.8680427448466943,0.4244301627698208,707.1105142781321
951,76.3254232475154,9.996568451311528,34.68538940000002,40.410572900000034,38.367720510588256,289,1.0958292701407675,0.026876434683799744,0.7748650908470154,0.37841070894551526,289,0.17092662663937386,-0.3285626769065857,0.26636946201324463,-0.014066440423879657,289,0.11418790485331803,68.0,0.07292422518418995,266.3931827564883,7600.7306179887355,0.030598148273961512,1.0140664404238797,0.37841070894551526,0.3028859619528724,0.689918685608529,0.457699051415135,499.9999999999634
952,76.3299840928796,9.996568451311528,33.26349307999999,39.80900138000004,35.349703467058845,289,1.630727349339905,0.09432314336299896,0.808315098285675,0.5887786970831531,289,0.17526057660178024,-0.41786226630210876,0.1443037986755371,-0.1815114796780385,289,0.1394298470565283,4.0,0.0015983652901924586,99.26045108287352,3242.9606501896546,0.013055138487118628,1.1815114796780386,0.5887786970831531,0.006638704864525363,0.2943636949800321,0.12172870091072807,0.0
953,76.3345449382438,9.996568451311528,33.318181400000014,39.41934709999998,37.02106793882355,289,1.3746874503278486,0.07845084369182587,0.7534246444702148,0.4608597276945015,289,0.170364966223792,-0.38232332468032837,0.2812145948410034,-0.05732946164880244,289,0.12588101149880357,15.0,0.008599970770603132,142.41833757318528,5136.358922195953,0.02067736376785638,1.0573294616488025,0.4608597276945015,0.0357194116638409,0.46622754765551466,0.20792266606051044,0.0
954,76.33910578360799,9.996568451311528,34.78793000000002,38.7015629,36.31978248588237,289,0.8097857348974308,0.16747279465198517,0.7548090219497681,0.5036380332233996,289,0.13242434603032716,-0.34903213381767273,0.1824139803647995,-0.07827856466431932,289,0.09447292021603453,15.0,0.007149104738739912,118.39152006286571,5590.261968766502,0.022504634515762935,1.0782785646643194,0.5036380332233996,0.02969333524526126,0.5074283491340607,0.22078734080078102,0.0
955,76.34366662897219,9.996568451311528,35.08529773999999,39.55948592000004,37.146529378823544,289,0.9924215554499255,0.08511409163475037,0.7884405851364136,0.4693416080672848,289,0.15149695646726652,-0.34791502356529236,0.207667738199234,-0.06390656731945421,289,0.10612240454389361,76.0,0.04800904899018316,156.9168952957837,6115.677376716823,0.02461979151393873,1.0639065673194543,0.4693416080672848,0.19940242010259665,0.5551203311119033,0.3416895845063193,0.0
956,76.34822747433638,9.996568451311528,34.73324167999999,40.35246656000004,36.83166941882355,289,1.1180324640942796,0.12278791517019272,0.7984248399734497,0.5052134899944583,289,0.16690842347570173,-0.3439099192619324,0.22432979941368103,-0.06911295590516192,289,0.12356968418249968,29.0,0.04376409159246978,374.86950805565965,3819.241491537294,0.01537506370447416,1.069112955905162,0.5052134899944583,0.18177126938953936,0.34667273480614663,0.24773185555618227,0.0
957,76.35278831970058,9.996568451311528,35.235690620000014,41.18646344000001,38.35618912823531,289,1.2862197524344532,0.03768862038850784,0.732782781124115,0.39935186577503246,289,0.18050504800397021,-0.30050477385520935,0.18834197521209717,-0.014784893775068765,289,0.10591629922634634,40.0,0.05017286481773872,311.57966357797466,7002.461317388224,0.028189704443021258,1.0147848937750688,0.39935186577503246,0.20838968649812778,0.6356137522731256,0.3792793128081269,499.9999999999634
958,76.35734916506478,9.996568451311528,33.28058318000001,39.28946234,36.60740472941178,289,1.6053242169903363,0.05830518528819084,0.760357677936554,0.46115650850183826,289,0.2032438101419673,-0.36101529002189636,0.3437844514846802,-0.08632527255681972,289,0.14498409566919604,12.0,0.07248601999640966,1500.4903418499255,2506.3637661608673,0.01008983135962897,1.0863252725568198,0.46115650850183826,0.301065905593023,0.227502760210191,0.2716406474398902,0.0
959,76.36191001042897,9.996568451311528,33.27374714000001,42.23921360000003,37.21323399058826,289,2.085174668659696,0.05553055554628372,0.7870787382125854,0.4336841939642355,289,0.2133739070394419,-0.4420652985572815,0.24484112858772278,-0.05284881591796875,289,0.16133465735161118,68.0,0.10732576161778445,392.06246150592324,5061.5216695813315,0.020376092552363147,1.0528488159179688,0.4336841939642355,0.4457704756933772,0.4594345666181081,0.4512361120632695,0.0
960,76.36647085579317,9.996568451311528,32.05351400000001,41.176209380000046,35.97142829529413,289,2.5764116679620552,0.05640651658177376,0.834953248500824,0.5471055185918577,289,0.2183583306799233,-0.504127025604248,0.24929125607013702,-0.117064690507407,289,0.19705741699528315,8.0,0.02150255179017911,667.6674610060605,1461.6955092907226,0.00588432588556811,1.117064690507407,0.5471055185918577,0.08930943135782324,0.13267817203559776,0.10665692762893304,0.0
961,76.37103170115736,9.996568451311528,33.29425526,42.898891460000016,37.804456834117666,289,2.1175194758478297,0.1140691414475441,0.8243781328201294,0.5328166394085208,289,0.1970376691174639,-0.3197721838951111,0.20411443710327148,-0.04763741806716655,289,0.13267214612328648,3.0,0.027873152163650484,2307.9427244338967,2898.7304794906067,0.01166937620546475,1.0476374180671666,0.5328166394085208,0.11576930004292155,0.2631179057458479,0.17470874232409211,0.0
962,76.37559254652156,9.996568451311528,33.89240876000002,39.556067900000016,35.95343933882355,289,1.3480652277087886,0.14832040667533875,0.8190212249755859,0.6162416662724373,289,0.14634065225918466,-0.29227641224861145,0.440443217754364,-0.0746585093567528,289,0.1362086346355019,12.0,0.031569818236502144,653.5081848910373,992.0463156322686,0.003993666107375569,1.074658509356753,0.6162416662724373,0.13112315888291876,0.09004809202472554,0.11469313213964147,0.0
963,76.38015339188576,9.996568451311528,32.40215204000003,38.363178919999996,34.524905821250016,272,1.511985297226018,0.1075647696852684,0.8278251886367798,0.6683933033662683,272,0.13190436567413533,-0.3209802806377411,0.1521974503993988,-0.1436755096211153,272,0.10113693485727313,23.0,0.015932679330411526,172.07634596904694,1093.019754667868,0.004400153380063657,1.1436755096211153,0.6683933033662683,0.0661753332762811,0.0992134559669682,0.07939058235255594,0.0
964,76.38471423724995,9.996568451311528,32.60381522,39.525305720000006,35.079088534117666,289,1.2181380228507188,0.10829493403434753,0.8248801231384277,0.6392313287332396,289,0.16509362319654347,-0.3437722325325012,0.18629629909992218,-0.13647938764631543,289,0.12356917127063287,23.0,0.019309979335429432,208.55190868218384,3389.560573302085,0.013645303618577066,1.1364793876463155,0.6392313287332396,0.08020272620695104,0.3076705770874792,0.1711898665591623,0.0
